sample_id	md5sum	assembly
SAMEA104416804	5fb7d8e0d742466ad54b2baf9ac77510	SAMEA104416804.contigs.fa.gz
SAMEA104416825	ad2c6cf8693d687eb4227682bb88aa90	SAMEA104416825.contigs.fa.gz
SAMEA104416876	c2e0344d788d6df2711b581a7b89fe3d	SAMEA104416876.contigs.fa.gz
SAMEA104416919	c1257c16fca8f941663fbd5ea303aead	SAMEA104416919.contigs.fa.gz
SAMEA104416942	c84a3b94864ecfb66490284a093217f3	SAMEA104416942.contigs.fa.gz
SAMEA104416969	4d329f0330ea7cbeda89d17c3ab1ee4d	SAMEA104416969.contigs.fa.gz
SAMEA104417008	5d1f96d1c8cc9ff549aa5c32bf9d5878	SAMEA104417008.contigs.fa.gz
SAMEA104417010	cce256970c31a549d0de5a1cc3ef3470	SAMEA104417010.contigs.fa.gz
SAMEA104417024	1718c7b61803f743bce5a0cd0e6fa272	SAMEA104417024.contigs.fa.gz
SAMEA104417037	8a043f66450b8c5de074879ffd7be207	SAMEA104417037.contigs.fa.gz
SAMEA104417344	660bd9afad0459ac1183e4a9d0fc5785	SAMEA104417344.contigs.fa.gz
SAMEA104420536	9fff6f7e9919571bbd226d27b8ebcb3a	SAMEA104420536.contigs.fa.gz
SAMEA104420537	60612a02471f47f9b0d2200908733a4e	SAMEA104420537.contigs.fa.gz
SAMEA104420540	545e61b6afc1db34c5376b4f7727d2a1	SAMEA104420540.contigs.fa.gz
SAMEA104420541	780c98ed95ef13765de0063326ff1f03	SAMEA104420541.contigs.fa.gz
SAMEA104420546	c938d596a78857646036db3ed564fce3	SAMEA104420546.contigs.fa.gz
SAMEA104420548	f8491451e2c29f8c633520965abcef69	SAMEA104420548.contigs.fa.gz
SAMEA104420549	910e1aa3545567b8b1d30bb52292f7de	SAMEA104420549.contigs.fa.gz
SAMEA104420551	ba0c24fea45c50a84812e6fdb2d0a5b4	SAMEA104420551.contigs.fa.gz
SAMEA104420552	43165030fb8523345ca18beda58827cb	SAMEA104420552.contigs.fa.gz
SAMEA104420553	3e3f860b5556b74ea394a69509fcbb27	SAMEA104420553.contigs.fa.gz
SAMEA104420557	e41f7aa558a78ee27f7179a4dbf58c77	SAMEA104420557.contigs.fa.gz
SAMEA104420571	1a43403987fa09d9ff667704cb253472	SAMEA104420571.contigs.fa.gz
SAMEA104420575	6ba511b00bcdf791f6ee6fb8a5850e77	SAMEA104420575.contigs.fa.gz
SAMEA104420578	0be6f0323a8508d173036a8047969ebc	SAMEA104420578.contigs.fa.gz
SAMEA104420579	fa07622836e91e099b63998dab2a031f	SAMEA104420579.contigs.fa.gz
SAMEA104420581	2bf22261f3d62115eebaf29dbb88b68e	SAMEA104420581.contigs.fa.gz
SAMEA104420583	85b578bb5646c421de41fc008a939aff	SAMEA104420583.contigs.fa.gz
SAMEA104420584	9af6ae3a147f5073081340e7f4e72c18	SAMEA104420584.contigs.fa.gz
SAMEA104420586	93c4c79c43ccd71348d7504a25328b6d	SAMEA104420586.contigs.fa.gz
SAMEA104420587	65e0283a2558b78b3075cb90eed940a0	SAMEA104420587.contigs.fa.gz
SAMEA104420588	65c8fd791af873c51c53e9ef63702460	SAMEA104420588.contigs.fa.gz
SAMEA104420589	c3f8c487616da2b37e48b4756a243971	SAMEA104420589.contigs.fa.gz
SAMEA104420599	c14ae0b063f40f9fddce90de26d1c6ae	SAMEA104420599.contigs.fa.gz
SAMEA104420600	8518a3a565ef043fb7430461bcc8ee12	SAMEA104420600.contigs.fa.gz
SAMEA104420602	df4181818957e77a23960831ffe10903	SAMEA104420602.contigs.fa.gz
SAMEA104420603	4ff46b6001b567e5fffd0d55b083ca21	SAMEA104420603.contigs.fa.gz
SAMEA104420606	20a56cb107d5d46d9d71860f7ca7c30a	SAMEA104420606.contigs.fa.gz
SAMEA104420607	da0a9237dbe94bf7232faf12ac4ad9b8	SAMEA104420607.contigs.fa.gz
SAMEA104420609	731d4b596afecd596b07f6975fed2b52	SAMEA104420609.contigs.fa.gz
